start_range, end_range, start_end, input_value, parallelism, accuracy, precision, storage, num_inp_vals, observed, obs_dec, expected, exp_dec, obs_dec-exp_dec, abs_err
-0.1,0.1,-0.1 to 0.1,0x2dbf,8,dw,float16,mem,512,0x1854,0.002113,0x1855,0.002115,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0xada1,8,dw,float16,mem,512,0x173b,0.001765,0x1742,0.001772,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0xa7d5,8,dw,float16,mem,512,0x17aa,0.001871,0x17af,0.001876,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x2e14,8,dw,float16,mem,512,0x1858,0.002121,0x185b,0.002127,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xa873,8,dw,float16,mem,512,0x17a3,0.001864,0x17a7,0.001868,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x27c2,8,dw,float16,mem,512,0x1810,0.001984,0x1816,0.001995,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0xad3f,8,dw,float16,mem,512,0x1749,0.001779,0x174d,0.001782,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2c4f,8,dw,float16,mem,512,0x183a,0.002064,0x183c,0.002068,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xad27,8,dw,float16,mem,512,0x1749,0.001779,0x1750,0.001785,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2b7c,8,dw,float16,mem,512,0x1831,0.002047,0x1833,0.00205,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2b02,8,dw,float16,mem,512,0x182d,0.002039,0x1830,0.002045,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x1fb4,8,dw,float16,mem,512,0x17f8,0.0019455,0x17fc,0.001949,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa6a8,8,dw,float16,mem,512,0x17b2,0.001879,0x17b8,0.001884,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xa47c,8,dw,float16,mem,512,0x17c1,0.001893,0x17c9,0.001901,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xac55,8,dw,float16,mem,512,0x175f,0.0018,0x1767,0.001807,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2e29,8,dw,float16,mem,512,0x1858,0.002121,0x185c,0.002129,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x22df,8,dw,float16,mem,512,0x1800,0.001953,0x1804,0.00196,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2c85,8,dw,float16,mem,512,0x183e,0.002071,0x1840,0.002075,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2c46,8,dw,float16,mem,512,0x183a,0.002064,0x183c,0.002068,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2a31,8,dw,float16,mem,512,0x1825,0.002024,0x1829,0.002031,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x262c,8,dw,float16,mem,512,0x180c,0.001976,0x180f,0.001982,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2364,8,dw,float16,mem,512,0x1800,0.001953,0x1805,0.001963,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x2906,8,dw,float16,mem,512,0x181d,0.002008,0x181f,0.002012,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa9d9,8,dw,float16,mem,512,0x178c,0.0018425,0x1792,0.001848,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2757,8,dw,float16,mem,512,0x1810,0.001984,0x1814,0.001991,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xa7c0,8,dw,float16,mem,512,0x17aa,0.001871,0x17b0,0.001877,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2878,8,dw,float16,mem,512,0x1819,0.002,0x181a,0.002003,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2939,8,dw,float16,mem,512,0x181d,0.002008,0x1821,0.002016,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xacd7,8,dw,float16,mem,512,0x1750,0.001785,0x1759,0.001794,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0xaa75,8,dw,float16,mem,512,0x1784,0.001835,0x1788,0.001839,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa4da,8,dw,float16,mem,512,0x17c1,0.001893,0x17c7,0.001899,-5.7e-06,5.7e-06
